Transcript_ID,KO_IDs,Pathway_IDs,Reaction_IDs,Module_Descriptions,Module_Groups,Module_Prefixes
NODE_101333_length_322_cov_3.260073_g68952_i0,CYP71AN24; phenylacetaldehyde oxime monooxygenase [EC:1.14.14.44];CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32];CYP1A1; cytochrome P450 family 1 subfamily A1 [EC:1.14.14.1];CYP2J; cytochrome P450 family 2 subfamily J [EC:1.14.14.1 1.14.14.73 1.14.14.74 1.14.14.75];CYP71A13; indoleacetaldoxime dehydratase [EC:4.8.1.3],Steroid hormone biosynthesis;Tryptophan metabolism;Cyanoamino acid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;Retinol metabolism;Metabolism of xenobiotics by cytochrome P450;Metabolic pathways;Biosynthesis of secondary metabolites;Longevity regulating pathway - worm;Serotonergic synapse;Inflammatory mediator regulation of TRP channels;Ovarian steroidogenesis;Prolactin signaling pathway;Cortisol synthesis and secretion;Cushing syndrome;Chemical carcinogenesis - DNA adducts,"progesterone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating); Progesterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 17alpha-Hydroxyprogesterone + [Oxidized NADPH---hemoprotein reductase] + H2O;Estrone + H+ + Oxygen + NADH <=> 2-Hydroxyestrone + NAD+ + H2O;Estrone + H+ + Oxygen + NADPH <=> 2-Hydroxyestrone + NADP+ + H2O;Estradiol-17beta + H+ + Oxygen + NADPH <=> Estriol + NADP+ + H2O;Dehydroepiandrosterone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxydehydroepiandrosterone + NADP+ + H2O;melatonin,NADPH---hemoprotein reductase:oxygen oxidoreductase; Melatonin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 6-Hydroxymelatonin + [Oxidized NADPH---hemoprotein reductase] + H2O;pregnenolone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating); Pregnenolone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 17alpha-Hydroxypregnenolone + [Oxidized NADPH---hemoprotein reductase] + H2O;3-indoleacetaldoxime hydro-lyase; Indole-3-acetaldehyde oxime <=> 3-Indoleacetonitrile + H2O;11beta-hydroxyprogesterone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating); 21-Deoxycortisol + [Oxidized NADPH---hemoprotein reductase] + H2O <=> 11beta-Hydroxyprogesterone + [Reduced NADPH---hemoprotein reductase] + Oxygen;20alpha-hydroxycholesterol,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating); 20alpha-Hydroxycholesterol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 17alpha,20alpha-Dihydroxycholesterol + [Oxidized NADPH---hemoprotein reductase] + H2O;naphthalene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Naphthalene + NADPH + Oxygen + H+ <=> (1R,2S)-Naphthalene 1,2-oxide + NADP+ + H2O;naphthalene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Naphthalene + NADPH + Oxygen + H+ <=> (1S,2R)-Naphthalene 1,2-oxide + NADP+ + H2O;1-nitronaphthalene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1-Nitronaphthalene + NADPH + Oxygen + H+ <=> 1-Nitronaphthalene-7,8-oxide + NADP+ + H2O;1-nitronaphthalene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1-Nitronaphthalene + NADPH + Oxygen + H+ <=> 1-Nitronaphthalene-5,6-oxide + NADP+ + H2O;15(S)-HPETE <=> 15H-11,12-EETA;15(S)-HPETE <=> 11H-14,15-EETA;15H-11,12-EETA + H2O <=> 11,12,15-THETA;11H-14,15-EETA + H2O <=> 11,14,15-THETA;Arachidonate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 19(S)-HETE + [Oxidized NADPH---hemoprotein reductase] + H2O;Arachidonate + Oxygen + NADPH + H+ <=> 14,15-EET + NADP+ + H2O;Arachidonate + Oxygen + NADPH + H+ <=> 11,12-EET + NADP+ + H2O;Arachidonate + Oxygen + NADPH + H+ <=> 8,9-EET + NADP+ + H2O;Arachidonate + Oxygen + NADPH + H+ <=> 5,6-EET + NADP+ + H2O;Linoleate + Oxygen + NADPH + H+ <=> 9(10)-EpOME + NADP+ + H2O;Linoleate + Oxygen + NADPH + H+ <=> 12(13)-EpOME + NADP+ + H2O;benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-9,10-oxide + NADP+ + H2O;benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-7,8-oxide + NADP+ + H2O;benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-4,5-oxide + NADP+ + H2O;benzo[a]pyrene-7,8-diol,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene-7,8-dihydrodiol + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide + NADP+ + H2O;9-hydroxybenzo[a]pyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 9-Hydroxybenzo[a]pyrene + NADPH + Oxygen + H+ <=> 9-Hydroxybenzo[a]pyrene-4,5-oxide + NADP+ + H2O;trichloroethene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Trichloroethene + NADPH + Oxygen + H+ <=> TCE epoxide + NADP+ + H2O;trichloroethene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Trichloroethene + NADPH + Oxygen + H+ <=> Chloral + NADP+ + H2O;(Z)-phenylacetaldehyde-oxime hydro-lyase; (Z)-Phenylacetaldehyde oxime <=> Phenylacetonitrile + H2O;Retinoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> all-trans-18-Hydroxyretinoic acid + [Oxidized NADPH---hemoprotein reductase] + H2O;Retinoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> all-trans-4-Hydroxyretinoic acid + [Oxidized NADPH---hemoprotein reductase] + H2O;17alpha-hydroxypregnenolone,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating, acetate-releasing); 17alpha-Hydroxypregnenolone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Dehydroepiandrosterone + Acetate + [Oxidized NADPH---hemoprotein reductase] + H2O;17alpha-hydroxyprogesterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating, acetate-releasing); 17alpha-Hydroxyprogesterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Androstenedione + Acetate + [Oxidized NADPH---hemoprotein reductase] + H2O;trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene + Oxygen + NADPH + H+ <=> (1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol + H2O + NADP+;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + Oxygen + NADPH + H+ <=> 4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone + H2O + NADP+;7,12-Dimethylbenz[a]anthracene + Oxygen + NADPH + H+ <=> 7,12-Dimethylbenz[a]anthracene 5,6-oxide + H2O + NADP+;(E)-Phenylacetaldoxime <=> (Z)-Phenylacetaldehyde oxime;phenylacetonitrile,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase [(R)-mandelonitrile-forming]; Phenylacetonitrile + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Mandelonitrile + [Oxidized NADPH---hemoprotein reductase] + H2O","C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone;C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",Sterol biosynthesis;Sterol biosynthesis,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism
NODE_101334_length_322_cov_3.157509_g68953_i0,"WDR5, SWD3, CPS30; COMPASS component SWD3",Cushing syndrome,,,,
NODE_101393_length_322_cov_1.912088_g69012_i0,"SHOC2, SUR8; leucine-rich repeat protein SHOC2",Ras signaling pathway,,,,
NODE_10140_length_2858_cov_15.032752_g4955_i0,"EXOC7, EXO70; exocyst complex component 7",Insulin signaling pathway,,,,
NODE_10141_length_2857_cov_1096.219017_g4956_i0,PABPC; polyadenylate-binding protein,Nucleocytoplasmic transport;mRNA surveillance pathway;RNA degradation,,,,
NODE_10143_length_2857_cov_219.083333_g1838_i1,"LETM1, MDM38; LETM1 and EF-hand domain-containing protein 1, mitochondrial",Mitophagy - yeast,,,,
NODE_101458_length_322_cov_1.333333_g69077_i0,"PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]",Oxidative phosphorylation,,,,
NODE_101466_length_322_cov_1.304029_g69085_i0,IAGLU; UDP-glucose:(indol-3-yl)acetate beta-D-glucosyltransferase [EC:2.4.1.121],,,,,
NODE_101495_length_322_cov_1.087912_g69114_i0,E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3],Ascorbate and aldarate metabolism;Metabolic pathways,L-ascorbate:oxygen oxidoreductase; Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O,,,
NODE_101511_length_321_cov_19.599265_g69130_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_101514_length_321_cov_6.757353_g69133_i0,"RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae",Ribosome,,"Ribosome, eukaryotes",Ribosome,Genetic information processing
NODE_101536_length_321_cov_2.952206_g69155_i0,"KIF11, EG5; kinesin family member 11",,,,,
NODE_101543_length_321_cov_2.819853_g69162_i0,BRD9; bromodomain-containing protein 9,,,,,
NODE_101569_length_321_cov_2.279412_g69188_i0,IRAK1; interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Epstein-Barr virus infection,,M00686,,
NODE_10157_length_2857_cov_21.636752_g4962_i0,"TOC1, APRR1; pseudo-response regulator 1",Circadian rhythm - plant,,,,
NODE_101580_length_321_cov_2.080882_g69199_i0,SPHK; sphingosine kinase [EC:2.7.1.91],Sphingolipid metabolism;Metabolic pathways;Calcium signaling pathway;Sphingolipid signaling pathway;Phospholipase D signaling pathway;VEGF signaling pathway;Apelin signaling pathway;Fc gamma R-mediated phagocytosis;Tuberculosis,ATP:sphingosine 1-phosphotransferase; sphingosine kinase; Sphingosine + ATP <=> Sphingosine 1-phosphate + ADP;ATP:sphinganine 1-phosphotransferase; ATP + Sphinganine <=> ADP + Sphinganine 1-phosphate,Sphingosine degradation,Lipid metabolism,Carbohydrate and lipid metabolism
NODE_101601_length_321_cov_1.904412_g69220_i0,"MTR4, SKIV2L2; ATP-dependent RNA helicase DOB1 [EC:5.6.2.6]",RNA degradation,,TRAMP complex,RNA processing,Genetic information processing
NODE_101637_length_321_cov_1.580882_g69256_i0,rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],Purine metabolism;Pyrimidine metabolism;Metabolic pathways;RNA polymerase,ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase; ATP + RNA <=> Diphosphate + RNA;GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed); GTP + RNA <=> Diphosphate + RNA;CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed); CTP + RNA <=> Diphosphate + RNA;UTP:RNA uridylyltransferase; UTP + RNA <=> Diphosphate + RNA,"RNA polymerase, bacteria",RNA polymerase,Genetic information processing
NODE_101638_length_321_cov_1.580882_g69257_i0,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]","Valine, leucine and isoleucine biosynthesis;C5-Branched dibasic acid metabolism;Glucosinolate biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids","(R)-2-methylmalate hydro-lyase (2-methylmaleate-forming); (R)-2-Methylmalate <=> 2-Methylmaleate + H2O;2-methylmaleate hydratase; D-erythro-3-methylmalate hydro-lyase (2-methylmaleate-forming); 2-Methylmaleate + H2O <=> D-erythro-3-Methylmalate;2-isopropylmalate hydro-lyase; alpha-Isopropylmalate <=> 2-Isopropylmaleate + H2O;3-isopropylmalate hydro-lyase; (2R,3S)-3-Isopropylmalate <=> 2-Isopropylmaleate + H2O;2-(2'-methylthio)ethylmalate hydroxymutase; 2-(2'-Methylthio)ethylmalic acid <=> 3-(2'-Methylthio)ethylmalic acid;2-(3'-methylthio)propylmalate hydroxymutase; 2-(3'-Methylthio)propylmalic acid <=> 3-(3'-Methylthio)propylmalic acid;2-(3'-methylthio)butylmalate hydroxymutase; 2-(4'-Methylthio)butylmalic acid <=> 3-(4'-Methylthio)butylmalic acid;2-(3'-methylthio)pentylmalate hydroxymutase; 2-(5'-Methylthio)pentylmalic acid <=> 3-(5'-Methylthio)pentylmalic acid;2-(3'-methylthio)hexylmalate hydroxymutase; 2-(6'-Methylthio)hexylmalic acid <=> 3-(6'-Methylthio)hexylmalic acid;2-(3'-methylthio)heptylmalate hydroxymutase; 2-(7'-Methylthio)heptylmalic acid <=> 3-(7'-Methylthio)heptylmalic acid;(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming); (2R,3S)-3-Isopropylmalate <=> alpha-Isopropylmalate","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate;Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",Branched-chain amino acid metabolism;Branched-chain amino acid metabolism,Nucleotide and amino acid metabolism;Nucleotide and amino acid metabolism
NODE_10166_length_2855_cov_3053.078047_g4965_i0,"THI4, THI1; cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60]",Thiamine metabolism;Metabolic pathways,NAD+:glycine ADP-D-ribosyltransferase (dehydroalanine-producing); NAD+ + Glycine + [Protein]-L-cysteine <=> ADP-5-ethyl-4-methylthiazole-2-carboxylate + Nicotinamide + [Protein]-dehydroalanine + 3 H2O,,,
NODE_101692_length_321_cov_1.279412_g69311_i0,E3.1.1.11; pectinesterase [EC:3.1.1.11],Pentose and glucuronate interconversions;Metabolic pathways,pectin pectylhydrolase; Pectin + n H2O <=> n Methanol + Pectate,Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_101703_length_321_cov_1.165441_g69322_i0,"E3.2.1.67; galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]",Pentose and glucuronate interconversions;Metabolic pathways,"poly(1,4-alpha-D-galacturonate) galacturonohydrolase; Pectate + H2O <=> D-Galacturonate + Pectate;Digalacturonate + H2O <=> 2 D-Galacturonate",Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_10170_length_2855_cov_101.423378_g4966_i0,"RAD54L, RAD54; DNA repair and recombination protein RAD54 and RAD54-like protein [EC:5.6.2.-]",Homologous recombination,,,,
NODE_101733_length_320_cov_12.195572_g69352_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1];FLS2; LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1],MAPK signaling pathway;MAPK signaling pathway - plant;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Plant-pathogen interaction;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_101764_length_320_cov_2.922509_g69383_i0,BRD9; bromodomain-containing protein 9,,,,,
NODE_101775_length_320_cov_2.671587_g69394_i0,HSP20; HSP20 family protein,Protein processing in endoplasmic reticulum,,,,
NODE_10177_length_2854_cov_189.525490_g4970_i0,"GAE, cap1J; UDP-glucuronate 4-epimerase [EC:5.1.3.6]",Amino sugar and nucleotide sugar metabolism;Metabolic pathways,UDP-glucuronate 4-epimerase; UDP-glucuronate <=> UDP-D-galacturonate,,,
NODE_101821_length_320_cov_1.959410_g69440_i0,E3.1.1.11; pectinesterase [EC:3.1.1.11],Pentose and glucuronate interconversions;Metabolic pathways,pectin pectylhydrolase; Pectin + n H2O <=> n Methanol + Pectate,Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_101833_length_320_cov_1.837638_g69452_i0,E3.2.1.21; beta-glucosidase [EC:3.2.1.21];E3.2.1.147; myrosinase [EC:3.2.1.147],Tryptophan metabolism;Cyanoamino acid metabolism;Starch and sucrose metabolism;Phenylpropanoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,"cellobiose glucohydrolase; Cellobiose + H2O <=> 2 beta-D-Glucose;(R)-prunasin beta-D-glucohydrolase; Prunasin + H2O <=> Mandelonitrile + D-Glucose;1,4-beta-D-glucan glucohydrolase; Cellodextrin + (n-2) H2O <=> (n-2) D-Glucose + Cellobiose;amygdalin beta-glucosidase; Prunasin + D-Glucose <=> Amygdalin + H2O;D-glucoside glucohydrolase; beta-D-Glucoside + H2O <=> D-Glucose + ROH;thioglucoside glucohydrolase; Glucobrassicin + H2O <=> 3-Indoleacetonitrile + D-Glucose + Sulfate + Sulfur;cyanoglycoside glucohydrolase; Cyanoglycoside + H2O <=> Cyanohydrin + D-Glucose;beta-D-glucosyl-2-coumarinate glucohydrolase; cis-beta-D-Glucosyl-2-hydroxycinnamate + H2O <=> cis-2-Hydroxycinnamate + D-Glucose;beta-D-glucoside glucohydrolase; Dhurrin + H2O <=> (S)-4-Hydroxymandelonitrile + beta-D-Glucose;beta-D-glucoside glucohydrolase; Lotaustralin + H2O <=> (2R)-2-Hydroxy-2-methylbutanenitrile + beta-D-Glucose;beta-D-glucoside glucohydrolase; Linamarin + H2O <=> Acetone cyanohydrin + beta-D-Glucose",,,
NODE_101842_length_320_cov_1.726937_g69461_i0,PUM; pumilio RNA-binding family,,,,,
NODE_101854_length_320_cov_1.723247_g69473_i0,ERF1; ethylene-responsive transcription factor 1,MAPK signaling pathway - plant;Plant hormone signal transduction,,,,
NODE_10185_length_2854_cov_54.341533_g4247_i2,"CUGBP, BRUNOL, CELF; CUG-BP- and ETR3-like factor",,,,,
NODE_101863_length_320_cov_1.678967_g69482_i0,"EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]",cAMP signaling pathway;HIF-1 signaling pathway;FoxO signaling pathway;Cell cycle;Wnt signaling pathway;Notch signaling pathway;TGF-beta signaling pathway;Adherens junction;JAK-STAT signaling pathway;Long-term potentiation;Melanogenesis;Thyroid hormone signaling pathway;Glucagon signaling pathway;Huntington disease;Tuberculosis;Hepatitis B;Influenza A;Human papillomavirus infection;Human T-cell leukemia virus 1 infection;Kaposi sarcoma-associated herpesvirus infection;Herpes simplex virus 1 infection;Epstein-Barr virus infection;Pathways in cancer;Viral carcinogenesis;MicroRNAs in cancer;Renal cell carcinoma;Prostate cancer,,,,
NODE_101865_length_320_cov_1.630996_g69484_i0,CDK12_13; cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23],,,,,
NODE_101917_length_320_cov_1.332103_g69536_i0,"CYCD1_2_4; cyclin D1/2/4, plant",,,M00692,,
NODE_10193_length_2853_cov_113.658345_g4982_i0,"XYL4; xylan 1,4-beta-xylosidase [EC:3.2.1.37]",Amino sugar and nucleotide sugar metabolism;Metabolic pathways,"D-xylose xylohydrolase; D-Xylose + 1,4-beta-D-Xylan <=> 1,4-beta-D-Xylan + H2O",,,
NODE_101952_length_320_cov_0.948339_g69571_i0,CML; calcium-binding protein CML,Plant-pathogen interaction,,,,
NODE_101955_length_319_cov_274.422222_g69574_i0,"MCM7, CDC47; DNA replication licensing factor MCM7 [EC:5.6.2.3]",DNA replication;Cell cycle;Cell cycle - yeast;Meiosis - yeast,,MCM complex,Replication system,Genetic information processing
NODE_101960_length_319_cov_7.862963_g69579_i0,MLL3; [histone H3]-lysine4 N-trimethyltransferase MLL3 [EC:2.1.1.354],Lysine degradation,"Protein lysine + S-Adenosyl-L-methionine <=> Protein N6-methyl-L-lysine + S-Adenosyl-L-homocysteine;S-adenosyl-L-methionine:histone-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Histone-L-lysine <=> S-Adenosyl-L-homocysteine + Histone N6-methyl-L-lysine;S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Protein N6-methyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6-dimethyl-L-lysine;S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Protein N6,N6-dimethyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6,N6-trimethyl-L-lysine",,,
NODE_10198_length_2853_cov_8.960770_g4986_i0,"LRPPRC; leucine-rich PPR motif-containing protein, mitochondrial",,,,,
NODE_102003_length_319_cov_2.629630_g69622_i0,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",Arginine and proline metabolism;Phenylalanine metabolism;Tryptophan metabolism;Aminobenzoate degradation;Styrene degradation;Microbial metabolism in diverse environments,2-phenylacetamide amidohydrolase; 2-Phenylacetamide + H2O <=> Phenylacetic acid + Ammonia;indole-3-acetamide amidohydrolase; (Indol-3-yl)acetamide + H2O <=> Indole-3-acetate + Ammonia;4-guanidinobutanamide amidohydrolase; 4-Guanidinobutanamide + H2O <=> 4-Guanidinobutanoate + Ammonia;monocarboxylic acid amide amidohydrolase; Monocarboxylic acid amide + H2O <=> Carboxylate + Ammonia;Acrylic acid + Ammonia <=> Acrylamide + H2O;acylamide aminohydrolase; Benzamide + H2O <=> Benzoate + Ammonia,,,
NODE_102018_length_319_cov_2.362963_g69637_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_102043_length_319_cov_2.100000_g69662_i0,"SHOC2, SUR8; leucine-rich repeat protein SHOC2",Ras signaling pathway,,,,
NODE_102062_length_319_cov_1.922222_g69681_i0,clpB; ATP-dependent Clp protease ATP-binding subunit ClpB,Longevity regulating pathway - multiple species,,,,
NODE_102073_length_319_cov_1.814815_g69692_i0,CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],Arachidonic acid metabolism;Folate biosynthesis;Metabolism of xenobiotics by cytochrome P450;Metabolic pathways;Chemical carcinogenesis - DNA adducts,"(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate:NADP+ 9-oxidoreductase; prostaglandin F2alpha:NADP+ oxidoreductase; Prostaglandin F2alpha + NADP+ <=> Prostaglandin E2 + NADPH + H+;7,8-dihydrobiopterin:NADP+ oxidoreductase; 7,8-Dihydrobiopterin + NADP+ <=> Sepiapterin + NADPH + H+;6-lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase; 6-Lactoyl-5,6,7,8-tetrahydropterin + NADP+ <=> 6-Pyruvoyltetrahydropterin + NADPH + H+;carbonyl reductase; 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + NADPH + H+ <=> 4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + NADP+",,,
NODE_102084_length_319_cov_1.733333_g69703_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_1020_length_5355_cov_121.835092_g432_i2,"RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]",Purine metabolism;Pyrimidine metabolism;Metabolic pathways;RNA polymerase;Huntington disease;Epstein-Barr virus infection,ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase; ATP + RNA <=> Diphosphate + RNA;GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed); GTP + RNA <=> Diphosphate + RNA;CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed); CTP + RNA <=> Diphosphate + RNA;UTP:RNA uridylyltransferase; UTP + RNA <=> Diphosphate + RNA,"RNA polymerase II, eukaryotes",RNA polymerase,Genetic information processing
NODE_10211_length_2850_cov_262.251339_g4606_i1,ANP32B; acidic leucine-rich nuclear phosphoprotein 32 family member B,,,,,
NODE_10212_length_2850_cov_255.192788_g4994_i0,"SLC15A3_4, PHT, NPF8; solute carrier family 15 (peptide/histidine transporter), member 3/4",,,,,
NODE_102173_length_319_cov_0.955556_g69792_i0,BET1; blocked early in transport 1,SNARE interactions in vesicular transport,,,,
NODE_102177_length_319_cov_0.929630_g69796_i0,"E3.2.1.67; galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]",Pentose and glucuronate interconversions;Metabolic pathways,"poly(1,4-alpha-D-galacturonate) galacturonohydrolase; Pectate + H2O <=> D-Galacturonate + Pectate;Digalacturonate + H2O <=> 2 D-Galacturonate",Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_102179_length_319_cov_0.770370_g69798_i0,BET1; blocked early in transport 1,SNARE interactions in vesicular transport,,,,
NODE_102198_length_318_cov_3.691450_g69817_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_10219_length_2849_cov_537.076786_g5000_i0,"CSNK1, CKI; casein kinase 1 [EC:2.7.11.1]",MAPK signaling pathway - yeast;Hippo signaling pathway - multiple species,,,,
NODE_10220_length_2849_cov_196.359643_g4642_i2,"CLASRP, SFRS16; CLK4-associating serine/arginine rich protein",,,,,
NODE_102243_length_318_cov_2.148699_g69862_i0,E3.1.1.11; pectinesterase [EC:3.1.1.11];PPT; palmitoyl-protein thioesterase [EC:3.1.2.22],Pentose and glucuronate interconversions;Fatty acid elongation;Metabolic pathways;Fatty acid metabolism;Lysosome,palmitoyl-CoA hydrolase; Palmitoyl-CoA + H2O <=> CoA + Hexadecanoic acid;pectin pectylhydrolase; Pectin + n H2O <=> n Methanol + Pectate,Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_10224_length_2849_cov_90.380000_g5002_i0,"EXOC7, EXO70; exocyst complex component 7",Insulin signaling pathway,,,,
NODE_10225_length_2849_cov_83.267143_g5003_i0,"PRPF4, PRP4; U4/U6 small nuclear ribonucleoprotein PRP4",Spliceosome,,"Spliceosome, U4/U6.U5 tri-snRNP",Spliceosome,Genetic information processing
NODE_10227_length_2849_cov_56.365714_g4827_i1,APTX; aprataxin [EC:3.6.1.70 3.6.1.71 3.6.1.72],,,,,
NODE_102284_length_318_cov_1.791822_g69903_i0,CUL4; cullin 4,Nucleotide excision repair;Ubiquitin mediated proteolysis,,Cul4-DDB1-DDB2 complex;Cul4-DDB1-CSA complex,Ubiquitin system;Ubiquitin system,Genetic information processing;Genetic information processing
NODE_10231_length_2848_cov_142.300822_g4268_i1,"COG6, COD2; conserved oligomeric Golgi complex subunit 6",,,,,
